Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2025,2025-01-01,08012,Indústria,De 00:00:00 a 05:59:59 h,698
2025,2025-01-01,08012,Indústria,De 06:00:00 a 11:59:59 h,764
2025,2025-01-01,08012,Indústria,De 12:00:00 a 17:59:59 h,814
2025,2025-01-01,08012,Indústria,De 18:00:00 a 23:59:59 h,772
2025,2025-01-01,08012,Indústria,No consta,0
2025,2025-01-01,08012,Residencial,De 00:00:00 a 05:59:59 h,25034
2025,2025-01-01,08012,Residencial,De 06:00:00 a 11:59:59 h,30585
2025,2025-01-01,08012,Residencial,De 12:00:00 a 17:59:59 h,43217
2025,2025-01-01,08012,Residencial,De 18:00:00 a 23:59:59 h,46225
2025,2025-01-01,08012,Residencial,No consta,0
2025,2025-01-01,08012,Serveis,De 00:00:00 a 05:59:59 h,12957
2025,2025-01-01,08012,Serveis,De 06:00:00 a 11:59:59 h,14604
2025,2025-01-01,08012,Serveis,De 12:00:00 a 17:59:59 h,18644
2025,2025-01-01,08012,Serveis,De 18:00:00 a 23:59:59 h,18317
2025,2025-01-01,08012,Serveis,No consta,0
2025,2025-01-01,08013,Indústria,De 00:00:00 a 05:59:59 h,1181
2025,2025-01-01,08013,Indústria,De 06:00:00 a 11:59:59 h,1767
2025,2025-01-01,08013,Indústria,De 12:00:00 a 17:59:59 h,1988
2025,2025-01-01,08013,Indústria,De 18:00:00 a 23:59:59 h,1474
2025,2025-01-01,08013,Indústria,No consta,0
2025,2025-01-01,08013,Residencial,De 00:00:00 a 05:59:59 h,63709
2025,2025-01-01,08013,Residencial,De 06:00:00 a 11:59:59 h,79301
2025,2025-01-01,08013,Residencial,De 12:00:00 a 17:59:59 h,110711
2025,2025-01-01,08013,Residencial,De 18:00:00 a 23:59:59 h,115881
2025,2025-01-01,08013,Residencial,No consta,0
2025,2025-01-01,08013,Serveis,De 00:00:00 a 05:59:59 h,67977
2025,2025-01-01,08013,Serveis,De 06:00:00 a 11:59:59 h,77369
2025,2025-01-01,08013,Serveis,De 12:00:00 a 17:59:59 h,91380
2025,2025-01-01,08013,Serveis,De 18:00:00 a 23:59:59 h,88967
2025,2025-01-01,08013,Serveis,No consta,0
2025,2025-01-01,08014,Indústria,De 00:00:00 a 05:59:59 h,546
2025,2025-01-01,08014,Indústria,De 06:00:00 a 11:59:59 h,661
2025,2025-01-01,08014,Indústria,De 12:00:00 a 17:59:59 h,699
2025,2025-01-01,08014,Indústria,De 18:00:00 a 23:59:59 h,650
2025,2025-01-01,08014,Indústria,No consta,0
2025,2025-01-01,08014,Residencial,De 00:00:00 a 05:59:59 h,43925
2025,2025-01-01,08014,Residencial,De 06:00:00 a 11:59:59 h,54258
2025,2025-01-01,08014,Residencial,De 12:00:00 a 17:59:59 h,76427
2025,2025-01-01,08014,Residencial,De 18:00:00 a 23:59:59 h,80949
2025,2025-01-01,08014,Residencial,No consta,0
2025,2025-01-01,08014,Serveis,De 00:00:00 a 05:59:59 h,39897
2025,2025-01-01,08014,Serveis,De 06:00:00 a 11:59:59 h,43142
2025,2025-01-01,08014,Serveis,De 12:00:00 a 17:59:59 h,47742
2025,2025-01-01,08014,Serveis,De 18:00:00 a 23:59:59 h,46662
2025,2025-01-01,08014,Serveis,No consta,0
2025,2025-01-01,08015,Indústria,De 00:00:00 a 05:59:59 h,546
2025,2025-01-01,08015,Indústria,De 06:00:00 a 11:59:59 h,642
2025,2025-01-01,08015,Indústria,De 12:00:00 a 17:59:59 h,649
2025,2025-01-01,08015,Indústria,De 18:00:00 a 23:59:59 h,590
2025,2025-01-01,08015,Indústria,No consta,0
2025,2025-01-01,08015,Residencial,De 00:00:00 a 05:59:59 h,28187
